的	〔白勹丶 · unid〕
癫	〔疒十目页 · anqw〕
葱	〔艹勹心 · lneh〕
熏	〔千黑 · lph〕
噗	〔口业⺶㇏ · dcgi〕
炯	〔火冂口 · cmdk〕
稼	〔禾宀豕 · xwjs〕
鞠	〔革勹米 · tnpm〕
朔	〔䒑月 · hsvy〕
栅	〔木册 · eic〕
霎	〔⻗立女 · tibn〕
匣	〔匚甲 · nsj〕
厕	〔厂贝刂 · xopd〕
眩	〔目亠幺 · qziy〕
岔	〔八刀山 · hpvs〕
缆	〔纟〢见 · ipre〕
谏	〔讠束丷 · sxhb〕
呃	〔口厂⺋ · dxzj〕
唔	〔口五口 · dwdk〕
懿	〔士冖豆心 · gwzh〕
斟	〔㇗斗 · zhaj〕
拧	〔扌宀丁 · uwad〕
嗤	〔口屮一虫 · dsfc〕
磅	〔石冖方 · miwl〕
尧	〔一儿 · pfpe〕
鳍	〔鱼老日 · wqor〕
肘	〔月寸 · vkc〕
帜	〔巾口八 · rdhb〕
晦	〔日𠂉母 · oekm〕
搓	〔扌⺶工 · ugug〕
粥	〔弓米弓 · bpbg〕
枫	〔木⺇乂 · eobi〕
琪	〔王 · nzhb〕
裔	〔衣冂八口 · tmhd〕
彰	〔音十彡 · xnes〕
瞻	〔目⺈厂言 · qxxs〕
邑	〔口巴 · dmb〕
吭	〔口亠几 · dzoj〕
垣	〔土一日一 · gfof〕
嗽	〔口束欠 · dxeq〕
皓	〔白⺧口 · uqdk〕
竿	〔⺮干 · reg〕
嚎	〔口豕 · dgjs〕
拽	〔扌曰㇂丿 · uoat〕
倪	〔亻臼儿 · jppe〕
胧	〔月龙 · vtl〕
峭	〔山⺌⺝ · vyvy〕
攸	〔亻丨攵 · jghp〕
瓣	〔瓜辛 · nynx〕
忿	〔八刀心 · hphx〕
扒	〔扌八 · uhb〕
嘀	〔口冂古 · dimc〕
桨	〔丬夕木 · alem〕
锥	〔钅隹 · zui〕
梗	〔木一日 · efob〕
蹬	〔⻊癶豆 · phzd〕
夭	〔丿大 · tmd〕
俭	〔亻亼⺍一 · jjkf〕
淌	〔氵尚 · kss〕
廓	〔广子阝 · xght〕
浊	〔氵虫 · kcc〕
碱	〔石戊一口 · mnfd〕
迭	〔丿夫辶 · thuc〕
讳	〔讠韦 · sgw〕
逞	〔口王辶 · dnuc〕
邸	〔氏丶阝 · bite〕
檀	〔木亠囗一 · ezrf〕
磷	〔石米夕㐄 · mplv〕
撼	〔扌戊一心 · unfh〕
踉	〔⻊丶艮 · piig〕
娅	〔女一业 · bfcy〕
绽	〔纟宀疋 · iwts〕
哆	〔口夕夕 · dllx〕
诬	〔讠工人人 · sujj〕
靴	〔革亻 · tjvb〕
冉	〔冂土 · mgt〕
芸	〔艹云 · lby〕
奚	〔爫幺大 · yimd〕
宵	〔宀⺌⺝ · wyvy〕
戟	〔十日十戈 · nonp〕
札	〔木乚 · eae〕
蛙	〔虫土土 · cggt〕
擎	〔艹句攵手 · lghu〕
沛	〔氵一巾 · kfrj〕
硝	〔石⺌⺝ · myvy〕
崛	〔山尸屮凵 · vcsm〕
槽	〔木一曲曰 · efyo〕
喽	〔口米女 · dpbn〕
礁	〔石隹灬 · much〕
哮	〔口耂子 · dqhi〕
腮	〔月田心 · vqhx〕
蜘	〔虫矢口 · codk〕
妞	〔女ヿ土 · bagt〕
刁	〔㇆㇀ · afi〕
栓	〔木人王 · ejnw〕
熔	〔火宀谷 · cwhg〕
懊	〔忄丿冂大 · htmm〕
铮	〔钅⺈ · zxbv〕
侥	〔亻一儿 · jpfp〕
炽	〔火口八 · cdhb〕
鞑	〔革大辶 · tmuc〕
胚	〔月不一 · vcfi〕
苛	〔艹可 · lzk〕
迸	〔䒑廾辶 · hluc〕
敖	〔龶刀攵 · aphp〕
轼	〔弋工 · ypug〕
祁	〔礻阝 · fte〕
拇	〔扌母 · ukm〕
窒	〔穴至 · eyi〕
邢	〔一廾阝 · flte〕
酌	〔酉勹丶 · ynid〕
柬	〔束丷 · xhb〕
悼	〔忄⺊日十 · hyon〕
瑛	〔王艹冂大 · nlmm〕
颐	〔页 · qwy〕
掐	〔扌⺈臼 · uxpj〕
猝	〔犭亠人十 · mzjn〕
缀	〔纟又又又 · irrr〕
锣	〔钅罒夕 · zylx〕
饷	〔饣丿冂口 · qtmd〕
卦	〔土土卜 · ggyb〕
壕	〔土豕 · ggjs〕
噬	〔口⺮工人 · druj〕
絮	〔女口糸 · bdis〕
崭	〔山斤 · vytj〕
馈	〔饣贝 · qcob〕
霄	〔⻗⺌⺝ · tyvy〕
荀	〔艹勹日 · lnor〕
岑	〔山亽 · vjae〕
褚	〔衤耂日 · tqor〕
の	〔の · ae aee〕
丨	〔丨 · gs gss〕
凃	〔冫人 · wjxh〕
妳	〔女小 · bxyx〕
蚝	〔虫毛 · cvm〕
墅	〔里予土 · digt〕
墟	〔土虍业 · gzcy〕
殆	〔歹厶口 · gkdk〕
涕	〔氵丷𢎨 · khtf〕
骏	〔马厶八夊 · nkhh〕
矗	〔十目一一 · nqff〕
徘	〔彳非 · wrf〕
幡	〔巾丿米田 · rtpq〕
釉	〔丿米由 · tpdy〕
嗔	〔口十目 · dnqh〕
煽	〔火户羽 · cmzv〕
醋	〔酉龷日 · ylor〕
匡	〔匚王 · nnw〕
鞍	〔革宀女 · twbn〕
袜	〔衤一木 · tfem〕
寥	〔宀羽人彡 · wzje〕
槐	〔木鬼 · eag〕
罡	〔罒一止 · yfsi〕
茜	〔艹西 · lvx〕
挚	〔扌九丶手 · ukiu〕
缎	〔纟一殳 · iufr〕
薇	〔艹彳山攵 · lwvh〕
闺	〔门土土 · aggt〕
湛	〔氵㇗ · kzha〕
悯	〔忄门文 · havw〕
咆	〔口勹巳 · dnvs〕
毓	〔𠂉母 · ekbo〕
摹	〔艹日大手 · lomu〕
颅	〔⺊尸页 · ycwy〕
陇	〔阝龙 · ttl〕
唬	〔口虎 · dzh〕
钙	〔钅一⺊ㄅ · zfya〕
缪	〔纟羽人彡 · izje〕
酱	〔丬夕酉 · alyy〕
痰	〔疒火火 · acch〕
锯	〔钅尸古 · zccg〕
炫	〔火亠幺 · cziy〕
霹	〔⻗尸口辛 · tcdn〕
杠	〔木工 · eug〕
忒	〔弋心 · phx〕
懦	〔忄⻗而 · htle〕
笃	〔⺮马 · rnm〕
翩	〔户羽 · mizv〕
檐	〔木⺈厂言 · exxs〕
婿	〔女疋⺝ · btvy〕
搀	〔扌⺀ · uwpw〕
肋	〔月力 · vsl〕
垦	〔艮土 · igt〕
汰	〔氵大丶 · kmid〕
捅	〔扌龴 · ukty〕
蟹	〔⺈用刀虫 · xtpc〕
箫	〔⺮肀八 · rbph〕
拴	〔扌人王 · ujnw〕
羌	〔⺶乚 · gae〕
绊	〔纟丷 · ihus〕
嗦	〔口十冖糸 · dnwi〕
洽	〔氵亼口 · kjdk〕
瀑	〔氵日龷氺 · kolk〕
珀	〔王白 · nub〕
绎	〔纟又 · irus〕
恃	〔忄土寸 · hgkc〕
驿	〔马又 · nrus〕
蟒	〔虫艹犬廾 · clml〕
撩	〔扌大丷小 · umhy〕
掳	〔扌虍力 · uzsl〕
抒	〔扌予 · uiv〕
犀	〔尸氺牛 · ckqn〕
芭	〔艹巴 · lmb〕
舷	〔舟亠幺 · iziy〕
甄	〔覀土瓦 · vgrw〕
拎	〔扌亽龴 · ujks〕
橱	〔木厂豆寸 · exzk〕
睦	〔目土八土 · qghg〕
臀	〔尸龷八⺝ · clhv〕
嫦	〔女巾 · bsrj〕
娴	〔女门木 · baem〕
粤	〔丿囗米ㄅ · trpa〕
蕊	〔艹心心心 · lhhh〕
辫	〔纟辛 · ninx〕
酋	〔丷酉 · hyy〕
狞	〔犭宀丁 · mwad〕
诅	〔讠且 · sfq〕
踌	〔⻊寸 · pakc〕
坞	〔土乌 · gxu〕
渣	〔氵木日一 · keof〕
亥	〔亥 · kh〕
巍	〔山禾女鬼 · vxba〕
靡	〔麻非 · zrf〕
瘟	〔疒日皿 · aoam〕
瞿	〔目目隹 · qqui〕
惫	〔夂田心 · hqhx〕
陨	〔阝口贝 · tdob〕
脯	〔月甫 · vnf〕
骷	〔骨古 · fcg〕
肪	〔月方 · vlf〕
祀	〔礻巳 · fvs〕
祠	〔礻㇆一口 · fafd〕
揖	〔扌口耳 · udqe〕
剔	〔日勹刂 · onep〕
膳	〔月羊䒑口 · vghd〕
叽	〔口几 · doj〕
钝	〔钅一 · zfsc〕
缉	〔纟口耳 · idqe〕
狙	〔犭且 · mfq〕
靶	〔革巴 · tmb〕
徊	〔彳囗口 · wrdk〕
氯	〔气氺 · vbks〕
疮	〔疒人⺋ · ajzj〕
蔚	〔艹尸示寸 · lcfk〕
鹃	〔口⺝鸟 · dvxn〕
啃	〔口止⺝ · dsvy〕
皂	〔白七 · urq〕
阙	〔门䒑欠 · ahse〕
鲤	〔鱼里 · wdl〕
峙	〔山土寸 · vgkc〕
氨	〔气宀女 · vwbn〕
禺	〔田⽱ · qvr〕
舔	〔舌一大⺗ · afmh〕
骡	〔马田糸 · nqis〕
闽	〔门虫 · acc〕
秽	〔禾山夕 · xvlx〕
闵	〔门文 · avw〕
咙	〔口龙 · dtl〕
瑚	〔王古月 · ncvy〕
嬉	〔女壴口 · bhdk〕
拭	〔扌弋工 · upug〕
肮	〔月亠几 · vzoj〕
佬	〔亻老 · jql〕
紊	〔文糸 · vis〕
狩	〔犭宀寸 · mwkc〕
咎	〔夂卜口 · hydk〕
栈	〔木一戈 · efpg〕
嗨	〔口氵𠂉母 · dkek〕
殉	〔歹勹日 · gnor〕
幌	〔巾日光 · romg〕
苔	〔艹厶口 · lkdk〕
嵩	〔山高 · vgg〕
篱	〔⺮亠㐅禸 · rzbv〕
剃	〔丷𢎨刂 · htpd〕
氓	〔亡民 · fdm〕
婷	〔女丁 · bgad〕
昊	〔日一大 · ofmd〕
砌	〔石七刀 · mrpd〕
绫	〔纟土八夊 · ighh〕
佯	〔亻羊 · jgy〕
巳	〔巳 · vs vss〕
悖	〔忄十冖子 · hnwh〕
炳	〔火一冂人 · cfmj〕
呛	〔口人⺋ · djzj〕
濒	〔氵止页 · kssw〕
屎	〔尸米 · cpm〕
汀	〔氵丁 · kad〕
瞟	〔目覀示 · qvfs〕
孜	〔子攵 · hhp〕
嵋	〔山目 · vcqm〕
犁	〔禾刂牛 · xpqn〕
揍	〔扌㇏大 · uaim〕
苇	〔艹韦 · lgw〕
掺	〔扌厶大彡 · ukme〕
趾	〔⻊止 · psi〕
酶	〔酉𠂉母 · yekm〕
榆	〔木亼⺝刂 · ejvp〕
霖	〔⻗木木 · teem〕
韧	〔韦刀丶 · gpid〕
拷	〔扌耂一ㄅ · uqfa〕
侈	〔亻夕夕 · jllx〕
肇	〔户攵聿 · mhbv〕
饵	〔饣耳 · qqe〕
舜	〔爫冖夕㐄 · ywlv〕
兢	〔古儿古儿 · cpcp〕
臻	〔至㇏禾 · yaix〕
擂	〔扌⻗田 · utqt〕
猾	〔犭骨 · mfg〕
恤	〔忄丿皿 · htam〕
隘	〔阝皿 · tkam〕
忏	〔忄千 · hlq〕
蝗	〔虫白王 · cunw〕
颔	〔亽口页 · jadw〕
绮	〔纟大可 · imzk〕
琦	〔王大可 · nmzk〕
诩	〔讠羽 · szv〕
钗	〔钅又丶 · zrid〕
茄	〔艹力口 · lsdk〕
敕	〔束攵 · xhp〕
睿	〔目 · ghqm〕
噜	〔口鱼日 · dwor〕
跺	〔⻊几木 · poem〕
佃	〔亻田 · jqt〕
戮	〔羽人彡戈 · zjep〕
颉	〔士口页 · gdwy〕
铀	〔钅由 · zdy〕
倔	〔亻尸屮凵 · jcsm〕
蕉	〔艹隹灬 · luch〕
褂	〔衤土土卜 · tggy〕
溺	〔氵弓冫冫 · kbww〕
谟	〔讠艹日大 · slom〕
皖	〔白宀二儿 · uwmp〕
狈	〔犭贝 · mob〕
噩	〔王口口口 · nddd〕
糙	〔米⺧口辶 · pqdu〕
瘾	〔疒阝⺈心 · atxh〕
赁	〔亻㇒士贝 · jtgo〕
埔	〔土甫 · gnf〕
咄	〔口屮凵 · dsmk〕
畸	〔田大可 · qmzk〕
赣	〔音十夂贝 · xnho〕
樵	〔木隹灬 · euch〕
亢	〔亠几 · zoj〕
侃	〔亻口 · jdoc〕
嫡	〔女冂古 · bimc〕
眶	〔目匚王 · qnnw〕
涤	〔氵夂木 · khem〕
捻	〔扌亽心 · ujah〕
鸠	〔九鸟 · kxn〕
捍	〔扌日干 · uoeg〕
芜	〔艹无 · ldu〕
酥	〔酉禾 · yxh〕
屉	〔尸廿㇗ · clae〕
眺	〔目儿冫 · qpww〕
抿	〔扌民 · udm〕
辙	〔⺝攵 · ybvh〕
胤	〔儿幺月 · pivy〕
闸	〔门甲 · asj〕
蛊	〔虫皿 · cam〕
褪	〔衤艮辶 · tiuc〕
鳌	〔龶刀攵鱼 · aphw〕
彷	〔彳方 · wlf〕
翎	〔亽龴羽 · jkzv〕
婪	〔木木女 · eebn〕
衅	〔丿皿丷 · tahu〕
猖	〔犭日曰 · moor〕
捶	〔扌千艹士 · ullg〕
伎	〔亻支 · jci〕
梧	〔木五口 · ewdk〕
洼	〔氵土土 · kggt〕
吆	〔口幺 · diy〕
椒	〔木⺊一又 · eyfr〕
瞳	〔目立里 · qidl〕
勺	〔勹丶 · nid〕
卉	〔十廾 · nlc〕
竺	〔⺮二 · rme〕
嗖	〔口臼丨又 · dpgr〕
淀	〔氵宀疋 · kwts〕
烘	〔火龷八 · clhb〕
痪	〔疒⺈冂大 · axmm〕
炊	〔火欠 · ceq〕
枭	〔鸟木 · xem〕
髦	〔镸彡毛 · pevm〕
轧	〔乚 · yae〕
矶	〔石几 · moj〕
钳	〔钅甘 · zzg〕
稠	〔禾冂土口 · xmgd〕
戊	〔戊 · nu nuu〕
羁	〔罒革马 · ytnm〕
璋	〔王音十 · nxns〕
咪	〔口米 · dpm〕
甭	〔不用 · cty〕
颌	〔亼口页 · jdwy〕
铝	〔钅口口 · zddk〕
谒	〔讠曰勹亾 · sonf〕
麾	〔麻毛 · zvm〕
驭	〔马又 · nry〕
俨	〔亻一厂 · jfcx〕
侬	〔亻冖 · jwti〕
疚	〔疒㇏ · axid〕
憔	〔忄隹灬 · huch〕
晏	〔日宀女 · owbn〕
驮	〔马大 · nmd〕
烙	〔火各 · csg〕
赃	〔贝广土 · oxgt〕
怅	〔忄长 · hpc〕
搔	〔扌又丶虫 · uric〕
磋	〔石⺶工 · mgug〕
篡	〔⺮目大厶 · rqmk〕
蹙	〔戊⺊一足 · nyfp〕
毗	〔田匕 · qvvb〕
瞩	〔目尸丿⽱ · qctv〕
笠	〔⺮立 · ril〕
殴	〔匸㐅殳 · nbrs〕
唠	〔口艹冖力 · dlws〕
喳	〔口木日一 · deof〕
锄	〔钅且力 · zfsl〕
隧	〔阝丷豕辶 · thju〕
剌	〔束刂 · xpd〕
憨	〔乛耳攵心 · aqhh〕
菁	〔艹龶⺝ · lavy〕
狰	〔犭⺈ · mxbv〕
桔	〔木士口 · egdk〕
孵	〔卵爫子 · byhi〕
蝠	〔虫一口田 · cfdq〕
袅	〔鸟衣 · xti〕
滇	〔氵十目 · knqh〕
疹	〔疒人彡 · ajes〕
黝	〔幺力 · pisl〕
汴	〔氵亠卜 · kzyb〕
缰	〔纟一田一 · ifqf〕
酝	〔酉云 · yby〕
垢	〔土⺁一口 · gxfd〕
焘	〔寸灬 · akch〕
掣	〔牛巾刂手 · qrpu〕
琅	〔王丶艮 · niig〕
嘈	〔口一曲曰 · dfyo〕
筛	〔⺮リ一巾 · rpfr〕
谤	〔讠冖方 · siwl〕
曙	〔日罒耂日 · oyqo〕
蕾	〔艹⻗田 · ltqt〕
漱	〔氵束欠 · kxeq〕
阱	〔阝井 · tqj〕
琵	〔王王匕 · nnvv〕
胰	〔月大弓 · vmbg〕
狒	〔犭弗 · mtf〕
哽	〔口一日 · dfob〕
呸	〔口不一 · dcfi〕
廿	〔廿 · ln〕
睫	〔目一龰 · qfbs〕
蠕	〔虫⻗而 · ctle〕
吠	〔口犬 · dmq〕
筐	〔⺮匚王 · rnnw〕
讪	〔讠山 · svs〕
惺	〔忄日生 · hols〕
汲	〔氵及 · kcj〕
赂	〔贝各 · osg〕
酣	〔酉甘 · yzg〕
澈	〔氵⺝攵 · kbvh〕
滤	〔氵虍心 · kzhx〕
徙	〔彳止龰 · wssi〕
抡	〔扌仑 · ujl〕
惋	〔忄宀夕⺋ · hwlz〕
漩	〔氵方𠂉疋 · klet〕
孰	〔子九丶 · ghki〕
睬	〔目爫木 · qyem〕
哧	〔口土 · dgch〕
椭	〔木阝𠂇⺝ · etnv〕
钵	〔钅木一 · zefi〕
笈	〔⺮及 · rcj〕
茹	〔艹女口 · lbdk〕
褒	〔衣亻口木 · tjde〕
蛾	〔虫丿扌戈 · ctup〕
啧	〔口龶贝 · daob〕
衲	〔衤冂人 · tmjr〕
毡	〔毛⺊口 · vydk〕
澎	〔氵彡 · khes〕
窖	〔穴⺧口 · eqdk〕
曳	〔曰㇂丿 · oatp〕
荧	〔艹冖火 · lwch〕
吝	〔文口 · vdk〕
跄	〔⻊人⺋ · pjzj〕
谛	〔讠冖巾 · siwr〕
淆	〔氵㐅𠂇⺝ · kbnv〕
菇	〔艹女古 · lbcg〕
诣	〔讠匕日 · svor〕
锈	〔钅禾乃 · zxvn〕
辗	〔尸龷 · yclt〕
穗	〔禾十田心 · xnqh〕
惰	〔忄𠂇工⺝ · hnuv〕
鲨	〔氵𡭔丿鱼 · kytw〕
柿	〔木亠巾 · ezrj〕
脓	〔月冖 · vwti〕
巅	〔山十目页 · vnqw〕
啄	〔口豕丶 · djid〕
娄	〔米女 · pbn〕
帷	〔巾隹 · rui〕
簧	〔⺮黄 · rnh〕
琛	〔王冖八木 · nwhe〕
萤	〔艹冖虫 · lwcc〕
奄	〔大日乚 · moae〕
盎	〔冂大皿 · mmam〕
渭	〔氵田⺝ · kqvy〕
硅	〔石土土 · mggt〕
馒	〔饣曰罒又 · qoyr〕
攘	〔扌衣口一 · utdf〕
鸾	〔亠鸟 · zcxn〕
忡	〔忄口丨 · hdgs〕
嫖	〔女覀示 · bvfs〕
蝎	〔虫曰勹亾 · conf〕
虬	〔虫乚 · cae〕
鹦	〔贝贝女鸟 · oobx〕
桅	〔木⺈厂⺋ · exxz〕
贻	〔贝厶口 · okdk〕
咀	〔口且 · dfq〕
鞅	〔革冂大 · tmmd〕
翟	〔羽隹 · zui〕
惚	〔忄勹心 · hneh〕
拈	〔扌⺊口 · uydk〕
糜	〔麻米 · zpm〕
钊	〔钅刂 · zpd〕
攒	〔扌⺧儿贝 · uqpo〕
沌	〔氵一 · kfsc〕
痊	〔疒人王 · ajnw〕
髯	〔镸彡冂土 · pemg〕
烹	〔了灬 · grch〕
豚	〔月豕 · vjs〕
咏	〔口丶水 · diks〕
腑	〔月广亻寸 · vxjk〕
诘	〔讠士口 · sgdk〕
渎	〔氵十乛大 · knam〕
悚	〔忄束 · hxs〕
撮	〔扌曰耳又 · uoqr〕
磊	〔石石石 · mmms〕
觑	〔虍业见 · zcej〕
寅	〔宀一由八 · wfdh〕
茸	〔艹耳 · lqe〕
忱	〔忄冖 · hwpe〕
傀	〔亻鬼 · jag〕
亵	〔衣扌九丶 · tuki〕
匾	〔匸户 · nmic〕
弛	〔弓也 · bey〕
疙	〔疒𠂉乙 · aeai〕
雏	〔⺈彐隹 · xbui〕
弼	〔弓一白弓 · bfub〕
戍	〔戊丶 · nid〕
帛	〔白巾 · urj〕
缭	〔纟大丷小 · imhy〕
羹	〔⺷灬⺷大 · gcgm〕
袄	〔衤丿大 · ttmd〕
迥	〔冂口辶 · mduc〕
俟	〔亻厶矢 · jkos〕
躇	〔⻊艹耂日 · plqo〕
墩	〔土子攵 · gghh〕
鸥	〔匸㐅鸟 · nbxn〕
痉	〔疒ス工 · arug〕
抨	〔扌干丷 · uehb〕
阜	〔丿㠯十 · tkns〕
禾	〔禾 · xh xhh〕
曝	〔日日龷氺 · oolk〕
乒	〔一丿 · tftp〕
壬	〔㇒士 · tgs〕
伢	〔亻牙 · jly〕
孚	〔爫子 · yhi〕
隅	〔阝田⽱ · tqvr〕
堑	〔斤土 · ytgt〕
恪	〔忄各 · hsg〕
槛	〔木〢皿 · epra〕
薯	〔艹罒耂日 · lyqo〕
驹	〔马句 · ngj〕
惦	〔忄广⺊口 · hxyd〕
怦	〔忄干丷 · hehb〕
炙	〔火 · vch〕
恺	〔忄山己 · hvvj〕
蒜	〔艹示示 · lffs〕
坍	〔土⺆亠 · gmzt〕
铠	〔钅山己 · zvvj〕
韶	〔音刀口 · xpdk〕
咔	〔口⺊一卜 · dyfy〕
璧	〔尸口辛丶 · cdni〕
驸	〔马亻寸 · njkc〕
霓	〔⻗臼儿 · tppe〕
嗒	〔口艹亼口 · dljd〕
彝	〔彑米糸廾 · bpil〕
淤	〔氵方人⺀ · kljw〕
抉	〔扌人 · unjr〕
挛	〔亠手 · zcus〕
捎	〔扌⺌⺝ · uyvy〕
呱	〔口瓜 · dyg〕
袱	〔衤亻犬 · tjmq〕
惘	〔忄冂䒑亡 · hmhf〕
蹑	〔⻊耳又又 · pqrr〕
蹿	〔⻊穴口丨 · pedg〕
桀	〔夕㐄木 · lvem〕
聆	〔耳亽龴 · qjks〕
褥	〔衤辰寸 · tfkc〕
阑	〔门束丷 · axhb〕
貂	〔豸刀口 · mpdk〕
梓	〔木辛 · enx〕
蹭	〔⻊丷囗曰 · phro〕
俾	〔亻白丿十 · jutn〕
漪	〔氵犭大可 · kmmz〕
矜	〔予丿亽 · itja〕
圭	〔土土 · ggt〕
漓	〔氵亠㐅禸 · kzbv〕
穹	〔穴弓 · ebg〕
诃	〔讠可 · szk〕
诽	〔讠非 · srf〕
肛	〔月工 · vug〕
蔼	〔艹讠曰亾 · lsof〕
蕃	〔艹丿米田 · ltpq〕
鬓	〔镸彡宀 · pewh〕
辄	〔耳㇗ · yqae〕
恻	〔忄贝刂 · hopd〕
阉	〔门大日乚 · amoa〕
崽	〔山田心 · vqhx〕
刨	〔勹巳刂 · nvpd〕
瓢	〔覀示瓜 · vfyg〕
祟	〔屮凵示 · smfs〕
幔	〔巾曰罒又 · royr〕
沽	〔氵古 · kcg〕
笋	〔⺮丿 · rbtp〕
筝	〔⺮⺈ · rxbv〕
滕	〔月丷夫氺 · vhhk〕
炬	〔火匚コ · cnnk〕
葵	〔艹癶一大 · lhfm〕
铎	〔钅又 · zrus〕
恬	〔忄舌 · has〕
楷	〔木匕白 · evvu〕
袒	〔衤日一 · tofi〕
冕	〔⺜ · owpe〕
纶	〔纟仑 · ijl〕
疡	〔疒ㄋ · aaes〕
埠	〔土丿㠯十 · gtkn〕
偌	〔亻艹𠂇口 · jlnd〕
蜈	〔虫口一大 · cdfm〕
橙	〔木癶豆 · ehzd〕
涧	〔氵门日 · kaor〕
瓒	〔王⺧儿贝 · nqpo〕
蝙	〔虫户 · cmic〕
诲	〔讠𠂉母 · sekm〕
殃	〔歹冂大 · gmmd〕
痹	〔疒田丌 · aqlc〕
晖	〔日冖车 · owyc〕
蜷	〔虫丷夫⺋ · chhz〕
鸳	〔夕⺋鸟 · lzxn〕
噶	〔口艹曰亾 · dlof〕
蘑	〔艹麻石 · lzms〕
鹊	〔龷日鸟 · loxn〕
碾	〔石尸龷 · mclt〕
珂	〔王可 · nzk〕
芮	〔艹冂人 · lmjr〕
茧	〔艹虫 · lcc〕
羔	〔⺷灬 · gch〕
靳	〔革斤 · ttj〕
堰	〔土匸日女 · gnob〕
悻	〔忄土 · hggy〕
曦	〔日⺷禾戈 · ogxp〕
黏	〔禾人氺口 · xjkd〕
橄	〔木乛耳攵 · eaqh〕
偕	〔亻匕白 · jvvu〕
妩	〔女无 · bdu〕
腋	〔月亠亻 · vzjv〕
暧	〔日爫冖又 · oywr〕
涟	〔氵车辶 · kyuc〕
拗	〔扌幺力 · uisl〕
憧	〔忄立里 · hidl〕
胥	〔疋⺝ · tvy〕
芹	〔艹斤 · ltj〕
俸	〔亻㇏ · jaiu〕
圃	〔囗甫 · rnf〕
薰	〔艹千黑 · llph〕
秧	〔禾冂大 · xmmd〕
拌	〔扌丷 · uhus〕
邯	〔甘阝 · zte〕
悸	〔忄禾子 · hxhi〕
锚	〔钅艹田 · zlqt〕
瑙	〔王巛丿乂 · notb〕
砾	〔石小 · mbyx〕
癸	〔癶一大 · hfmd〕
磐	〔舟殳石 · irms〕
凋	〔冫冂土口 · wmgd〕
溥	〔氵甫寸 · knkc〕
嬴	〔亡口月丶 · fdvi〕
亟	〔了口又一 · rdrf〕
偎	〔亻田一 · jqft〕
橘	〔木予丿口 · eitd〕
滢	〔氵艹冖丶 · klwi〕
懵	〔忄艹罒目 · hlyq〕
绚	〔纟勹日 · inor〕
唆	〔口厶八夊 · dkhh〕
胺	〔月宀女 · vwbn〕
嚓	〔口宀示 · dwhf〕
撬	〔扌毛毛毛 · uvvv〕
肴	〔㐅𠂇⺝ · bnvy〕
纂	〔⺮目大糸 · rqmi〕
碉	〔石冂土口 · mmgd〕
蹊	〔⻊爫幺大 · pyim〕
忐	〔⺊一心 · yfhx〕
楠	〔木十冂 · enmg〕
钠	〔钅冂人 · zmjr〕
笺	〔⺮一戈 · rfpg〕
渲	〔氵宀一一 · kwff〕
娼	〔女日曰 · boor〕
湄	〔氵目 · kcqm〕
暨	〔旡日一 · idof〕
翡	〔非羽 · rzv〕
鳄	〔鱼口口ㄅ · wdda〕
萃	〔艹亠人十 · lzjn〕
枷	〔木力口 · esdk〕
籽	〔米子 · phi〕
骼	〔骨各 · fsg〕
韬	〔韦爫臼 · gypj〕
潼	〔氵立里 · kidl〕
祺	〔礻 · fzhb〕
笙	〔⺮生 · rls〕
岐	〔山支 · vci〕
悴	〔忄亠人十 · hzjn〕
攥	〔扌⺮目糸 · urqi〕
喋	〔口廿㇗木 · dlae〕
蜕	〔虫丷口儿 · chdp〕
聿	〔聿 · bv bvv〕
氮	〔气火火 · vcch〕
踹	〔⻊山而 · pvle〕
釜	〔八乂 · hbzj〕
叼	〔口㇆㇀ · dafi〕
揩	〔扌匕白 · uvvu〕
麓	〔木木鹿 · eexl〕
嫔	〔女宀 · bwth〕
劾	〔亥力 · ksl〕
辎	〔巛田 · yoqt〕
翌	〔羽立 · zil〕
乓	〔一丶 · tfid〕
绯	〔纟非 · irf〕
渤	〔氵十冖力 · knws〕
俐	〔亻禾刂 · jxpd〕
粱	〔氵刀八米 · kphp〕
腓	〔月非 · vrf〕
撵	〔扌夫夫车 · uhhy〕
搐	〔扌亠幺田 · uziq〕
茬	〔艹丨土 · lngg〕
赘	〔龶刀攵贝 · apho〕
龋	〔齿丿口⽱ · ltdv〕
瘪	〔疒自仑 · aojl〕
遽	〔虍豕辶 · zjuc〕
饺	〔饣六乂 · qabi〕
怂	〔人人心 · jjhx〕
屹	〔山𠂉乙 · veai〕
沥	〔氵厂力 · kxsl〕
辕	〔土口 · ygdt〕
缜	〔纟十目 · inqh〕
睾	〔丿罒土 · tygg〕
讷	〔讠冂人 · smjr〕
蚤	〔又丶虫 · ricc〕
锭	〔钅宀疋 · zwts〕
榨	〔木穴乍 · eewa〕
瑾	〔王廿口龶 · nlda〕
蛤	〔虫亼口 · cjdk〕
攫	〔扌目目又 · uqqr〕
捋	〔扌爫寸 · uykc〕
骥	〔马匕八 · navh〕
瓮	〔八厶瓦 · hkrw〕
汾	〔氵八刀 · khpd〕
惴	〔忄山而 · hvle〕
溉	〔氵旡 · kidu〕
妊	〔女㇒士 · btgs〕
惮	〔忄丷田十 · hhqn〕
锌	〔钅辛 · znx〕
馀	〔饣人 · qjxh〕
帧	〔巾⺊贝 · ryob〕
撂	〔扌田各 · uqsg〕
